Testfield Names            | Location              | File Path                                                         
--------------------------------------------------------------------------------------------------------------------------------------
TF00_PlayerTest            | Root/Test/TF 00-19    | TestField00\TestField00.mumap                                      
TF01_ObjTest               | Root/Test/TF 00-19    | TestField01\TestField01.mumap                                      
TF03_RivalTest             | Root/Test/TF 00-19    | TestField03_Msn\TestField03_Msn.mumap                              
TF03B_RivalTestB           | Root/Test/TF 00-19    | TestField03B_Msn\TestField03B_Msn.mumap                            
TF04_EnemyTest             | Root/Test/TF 00-19    | TestField04_Msn\TestField04_Msn.mumap                              
TF05_ObjectTest            | Root/Test/TF 00-19    | TestField05_ObjectTest_Msn\TestField05_ObjectTest_Msn.mumap        
TF06_ProfileCrank          | Root/Test/TF 00-19    | TestField06\TestField06.mumap                                      
TF07_RivalTakadaiTest      | Root/Test/TF 00-19    | TestField07_Msn\TestField07_Msn.mumap                              
TF08_RivalNarakuTest       | Root/Test/TF 00-19    | TestField08_Msn\TestField08_Msn.mumap                              
TF09_Test                  | Root/Test/TF 00-19    | TestField09_Msn\TestField09_Msn.mumap                              
TF15_Suzuki                | Root/Test/TF 00-19    | TestField15\TestField15.mumap                                      
TF16_MissileTest           | Root/Test/TF 00-19    | TestField16_Msn\TestField16_Msn.mumap                              
TF17_ENDING                | Root/Test/TF 00-19    | TestField17_Msn\TestField17_Msn.mumap                              
TF20_Tsutsui               | Root/Test/TF 20-39    | TestField20\TestField20.mumap                                      
TF21_Muraki                | Root/Test/TF 20-39    | TestField21_Msn\TestField21_Msn.mumap                              
TF22_Ito                   | Root/Test/TF 20-39    | TestField22_Vss\TestField22_Vss.mumap                              
TF23_Kiuchi                | Root/Test/TF 20-39    | TestField23_Msn\TestField23_Msn.mumap                              
TF24_Iba                   | Root/Test/TF 20-39    | TestField24_Vss\TestField24_Vss.mumap                              
TF25_Sato                  | Root/Test/TF 20-39    | TestField25\TestField25.mumap                                      
TF26_Waken                 | Root/Test/TF 20-39    | TestField26\TestField26.mumap                                      
TF27_UedaKaz               | Root/Test/TF 20-39    | TestField27\TestField27.mumap                                      
TF28_Kato                  | Root/Test/TF 20-39    | TestField28\TestField28.mumap                                      
TF29_RivalTest             | Root/Test/TF 20-39    | TestField29_RivalTest_Msn\TestField29_RivalTest_Msn.mumap          
TF30_Nishimori             | Root/Test/TF 20-39    | TestField30\TestField30.mumap                                      
TF31_Nishimori             | Root/Test/TF 20-39    | TestField31\TestField31.mumap                                      
TF35_Tou                   | Root/Test/TF 20-39    | TestField35_Vss\TestField35_Vss.mumap                              
